見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
わかやまインターンシッププログラム 参加学生,県内の企業・団体などで就業体験を行う,,,主に夏期休暇中,,大学3年生、大学院1年生など,,,,,郵送、電話、FAXで5月26日までに県経営者協会インターンシップ推進事業センター〒640-8152和歌山市十番丁19 wajima十番丁3階電話073-431-7400　ファックス073-402-1312 ,,,,http://w-keikyo.com/index.html,,,
県ナースセンターからのお知らせ,5月12日は看護の日、5月7?13日は看護週間,（1）1日まちの保健室,健康チェックや健康相談など,5月6・13日,県内9カ所で随時開催,,,,,県ナースセンター　〒642-0017海南市南赤坂17　電話073-483-0234 ※開催場所など詳しくは要問合せ,,,,,http://www.wakayama-kangokyokai.or.jp/new_site/,,,
県ナースセンターからのお知らせ,5月12日は看護の日、5月7?13日は看護週間,（2）ふれあい看護体験,看護師業務の体験,7月25日?8月10日,県内50病院,高校生以上,464人（選考）,,高校生は学校を通じて、高校生以外は郵送で住所、氏名(ふりがな)、年齢、電話番号、希望病院(2カ所)、服のサイズ、参加動機、82円切手を5月8?13日に問合先,県ナースセンター　〒642-0017海南市南赤坂17　電話073-483-0234 ※開催場所など詳しくは要問合せ,,,,,http://www.wakayama-kangokyokai.or.jp/new_site/,,,
県ナースセンターからのお知らせ,5月12日は看護の日、5月7?13日は看護週間,（3）未就業看護職のための再就業支援セミナー(採血演習),,毎月第1・3木曜 10:00?12:00,県看護協会(海南市),看護職の免許を有し、県ナースセンターに登録している方,,,電話で住所、氏名、電話番号を問合先,県ナースセンター　〒642-0017海南市南赤坂17　電話073-483-0234 ※開催場所など詳しくは要問合せ,,,,,http://www.wakayama-kangokyokai.or.jp/new_site/,,,
子育て支援員研修,放課後児童クラブ補助員、ファミリー・サポート・センター事業提供会員など子育て支援事業従事者の養成研修,,,6月10日から随時開催,,,,,,,郵送で所定の申込書(申込先、市町村、WEBサイトで配布)を5月22日までに和歌山大学生涯学習部門　〒641-0051和歌山市西高松1-7-20　電話073-427-4623 ,,,,http://www.life.wakayama-u.ac.jp/index.cgi,,,
創業セミナー,創業支援の専門家による講演やパネルディスカッション、交流会など,,,6月4日(日)13:30?15:40(交流会は16:30まで),和歌山大学システム工学部(和歌山市),これから創業される方や創業して間もない方,80人（先着順）,,,,FAX、Eメールで所定の申込書(申込先、WEBサイトで配布)を県庁企業振興課ファックス073-424-1199,,,,http://www.pref.wakayama.lg.jp/prefg/061000/homepage/wakayamadesougyo.html,,e0610001@pref.wakayama.lg.jp,
県民文化会館からのお知らせ,（1）ウィーン少年合唱団～天使の歌声が、春風に乗ってやってくる～,,,5月26日(金)18:30?（,県民文化会館(和歌山市),4歳以下入場不可一時保育希望者は要予約,"1,989人(全席指定)","一般 S席4,000円、A席3,000円、高校生以下(A席)1,500円",,,郵送、電話、Eメール、インターネットで住所、氏名、電話番号を会場 〒640-8269和歌山市小松原通1-1電話073-436-1331　ファックス073-436-1335　※各プレイガイドでも発売,,,,http://www.wacaf.or.jp/index.html,,wacaf@wacaf.or.jp,
県民文化会館からのお知らせ,（2）和太鼓鑑賞公演～舞太鼓あすか組～,,,6月13日(火)13:30?,県民文化会館(和歌山市),未就学児入場不可一時保育希望者は要予約,558人(全席自由・2階席のみ)（先着順）,"一般1,500円、学生800円",,,郵送、電話、Eメール、インターネットで住所、氏名、電話番号を会場 〒640-8269和歌山市小松原通1-1電話073-436-1331　ファックス073-436-1335　※各プレイガイドでも発売,,,,http://www.wacaf.or.jp/index.html,,wacaf@wacaf.or.jp,
わかやまU・Iターン就職フェアin大阪,県内企業の人事担当者との面談会,,,6月4日(日) 13:00?16:00,阪急グランドビル (大阪市),平成30年3月卒業予定の大学・短大・専門学校生、一般求職者,,,,県庁労働政策課,,,,,http://www.wakayama-uiturn.jp/,,,
和歌浦漁港朝市（おっとっと広場）,鮮魚販売、わかしらす直売、マグロの解体即売、露店、もちまき,,,5月13日(土)10:00?14:00,和歌浦漁港内(和歌山市),,,,,ベイサイド和歌浦電話073-446-3308,,,,,,,,
